0.5	4.31E-08	1.28072E-09
1	1.29E-08	3.03579E-10
1.5	5.88E-08	1.27124E-09
2	1.8479E-06	5.34204E-08
2.5	2.063E-06	5.13143E-08
3	1.3327E-06	6.23475E-08
3.5	8.237E-07	5.39991E-08
4	5.712E-07	4.38387E-08
4.5	4.335E-07	3.73022E-08
5	3.743E-07	3.32608E-08
5.5	2.839E-07	2.83277E-08
6	2.468E-07	2.51211E-08
6.5	1.985E-07	2.09564E-08
7	0.000000181	1.91349E-08
