0 2.5000000211 0.4419416786
1 2.5123228385 0.4419415141
2 2.5246455824 0.4419413322
3 2.5369682431 0.4419411036
4 2.5492908098 0.4419407953
5 2.5616132703 0.4419403708
6 2.5739356114 0.4419397908
7 2.5862578185 0.4419390130
8 2.5985798759 0.4419379927
9 2.6109017670 0.4419366827
10 2.6232234738 0.4419350336
11 2.6355449775 0.4419329941
12 2.6478662584 0.4419305109
13 2.6601872953 0.4419275292
14 2.6725080665 0.4419239922
15 2.6848285490 0.4419198418
16 2.6971487186 0.4419150176
17 2.7094685501 0.4419094577
18 2.7217880169 0.4419030977
19 2.7341070908 0.4418958708
20 2.7464257422 0.4418877073
21 2.7587439395 0.4418785342
22 2.7710616492 0.4418682746
23 2.7833788352 0.4418568474
24 2.7956954590 0.4418441665
25 2.8080114793 0.4418301405
26 2.8203268515 0.4418146720
27 2.8326415274 0.4417976571
28 2.8449554554 0.4417789852
29 2.8572685796 0.4417585383
30 2.8695808398 0.4417361912
31 2.8818921714 0.4417118107
32 2.8942025050 0.4416852558
33 2.9065117662 0.4416563777
34 2.9188198755 0.4416250198
35 2.9311267481 0.4415910178
36 2.9434322941 0.4415542003
37 2.9557364180 0.4415143884
38 2.9680390187 0.4414713968
39 2.9803399896 0.4414250338
40 2.9926392188 0.4413751015
41 3.0049365884 0.4413213968
42 3.0172319750 0.4412637113
43 3.0295252494 0.4412018317
44 3.0418162768 0.4411355407
45 3.0541049162 0.4410646162
46 3.0663910207 0.4409888327
47 3.0786744373 0.4409079609
48 3.0909550067 0.4408217676
49 3.1032325628 0.4407300165
50 3.1155069331 0.4406324678
51 3.1277779379 0.4405288783
52 3.1400453901 0.4404190017
53 3.1523090952 0.4403025886
54 3.1645688511 0.4401793864
55 3.1768244474 0.4400491398
56 3.1890756654 0.4399115908
57 3.2013222780 0.4397664794
58 3.2135640495 0.4396135432
59 3.2258007352 0.4394525189
60 3.2380320815 0.4392831420
61 3.2502578259 0.4391051481
62 3.2624776969 0.4389182731
63 3.2746914139 0.4387222546
64 3.2868986875 0.4385168325
65 3.2990992197 0.4383017497
66 3.3112927038 0.4380767538
67 3.3234788246 0.4378415976
68 3.3356572592 0.4375960404
69 3.3478276766 0.4373398489
70 3.3599897382 0.4370727984
71 3.3721430983 0.4367946741
72 3.3842874044 0.4365052717
73 3.3964222972 0.4362043986
74 3.4085474115 0.4358918753
75 3.4206623761 0.4355675354
76 3.4327668143 0.4352312277
77 3.4448603443 0.4348828163
78 3.4569425798 0.4345221815
79 3.4690131301 0.4341492213
80 3.4810716005 0.4337638515
81 3.4931175931 0.4333660069
82 3.5051507070 0.4329556421
83 3.5171705386 0.4325327320
84 3.5291766826 0.4320972729
85 3.5411687324 0.4316492831
86 3.5531462804 0.4311888035
87 3.5651089189 0.4307158986
88 3.5770562405 0.4302306568
89 3.5889878390 0.4297331913
90 3.6009033101 0.4292236403
91 3.6128022518 0.4287021680
92 3.6246842654 0.4281689647
93 3.6365489559 0.4276242474
94 3.6483959330 0.4270682598
95 3.6602248119 0.4265012730
96 3.6720352136 0.4259235853
97 3.6838267658 0.4253355222
98 3.6955991037 0.4247374370
99 3.7073518707 0.4241297100
100 3.7190847186 0.4235127487
101 3.7307973089 0.4228869875
102 3.7424893129 0.4222528875
103 3.7541604127 0.4216109360
104 3.7658103016 0.4209616458
105 3.7774386846 0.4203055551
106 3.7890452795 0.4196432267
107 3.8006298168 0.4189752471
108 3.8121920408 0.4183022262
109 3.8237317102 0.4176247961
110 3.8352485983 0.4169436105
111 3.8467424936 0.4162593434
112 3.8582132009 0.4155726881
113 3.8696605410 0.4148843561
114 3.8810843517 0.4141950757
115 3.8924844883 0.4135055907
116 3.9038608235 0.4128166592
117 3.9152132484 0.4121290521
118 3.9265416725 0.4114435518
119 3.9378460240 0.4107609505
120 3.9491262501 0.4100820485
121 3.9603823169 0.4094076526
122 3.9716142098 0.4087385743
123 3.9828219334 0.4080756283
124 3.9940055112 0.4074196304
125 4.0051649860 0.4067713960
126 4.0163004189 0.4061317381
127 4.0274118901 0.4055014653
128 4.0384994976 0.4048813804
129 4.0495633577 0.4042722785
130 4.0606036040 0.4036749454
131 4.0716203874 0.4030901557
132 4.0826138754 0.4025186712
133 4.0935842521 0.4019612391
134 4.1045317169 0.4014185911
135 4.1154564850 0.4008914413
136 4.1263587862 0.4003804853
137 4.1372388648 0.3998863982
138 4.1480969786 0.3994098337
139 4.1589333990 0.3989514225
140 4.1697484101 0.3985117721
141 4.1805423081 0.3980914645
142 4.1913154010 0.3976910559
143 4.2020680078 0.3973110752
144 4.2128004580 0.3969520239
145 4.2235130911 0.3966143747
146 4.2342062557 0.3962985713
147 4.2448803090 0.3960050271
